@RELATION sizes1_nuovo.arff 

@ATTRIBUTE a0 real
@ATTRIBUTE a1 real

@DATA
3.68463,1.18731
7.38526,-3.02599
-3.63166,2.83141
14.9283,1.59718
11.0797,12.7591
11.3795,7.91835
1.58391,1.12715
9.48003,12.6462
2.22197,9.53167
-2.56802,8.55961
11.6276,9.0659
11.7712,-2.17831
4.16396,11.0404
-0.527881,-2.53228
13.8802,7.98323
2.36497,-1.08259
2.11018,10.1924
11.4703,12.9132
12.6516,8.84141
-0.28952,12.9287
-2.09528,-2.6127
11.027,10.6794
9.81235,9.67958
5.27706,9.20587
-1.64286,-1.01781
7.58705,2.6877
11.7618,4.16092
11.7665,0.316389
12.0638,6.88238
10.7446,-0.113716
10.9545,11.0514
4.30777,-0.564932
8.39059,8.84905
10.437,11.3347
-0.858948,-0.977285
7.55944,9.41454
8.58252,13.3119
9.90314,1.33878
7.35056,9.42417
9.47169,13.3645
-1.5736,7.43722
11.0309,-2.79915
2.01053,12.2661
11.8484,10.0113
14.7146,11.7994
6.87164,-0.143265
9.81318,7.23553
11.438,4.24336
-0.13582,1.23129
9.42097,0.977441
6.54614,10.2766
2.38316,10.8752
1.95475,10.7679
9.77966,9.93818
4.9417,4.81965
8.97236,8.02286
0.134836,-0.443483
-0.820624,0.701993
10.8296,-2.25649
12.2465,10.4894
8.52211,10.857
-3.04233,-0.232775
10.802,0.956605
1.80777,-0.667409
6.97813,10.126
-2.32104,10.8743
3.43452,7.23192
-0.724139,-5.84513
10.1746,7.05434
8.36323,11.1985
11.3777,-0.00804024
9.5701,10.3965
3.67759,-0.944235
9.12937,8.95838
-0.369138,-1.54487
1.20583,-1.28969
9.22699,-3.15862
7.7203,10.1699
2.78817,1.31276
0.609742,0.251508
1.5985,-3.4278
-3.37413,0.356287
9.94007,2.01545
1.69834,-5.38589
10.3905,11.2224
12.019,9.46032
-2.12775,7.60335
10.3754,9.42935
6.63999,8.95249
10.4072,0.846186
-1.26836,9.93758
0.471925,7.47258
10.9761,1.10382
13.2945,10.8033
-2.34717,8.73954
0.0701485,13.1913
-2.04304,6.3212
0.620538,-3.88896
11.2113,15.1372
7.57984,9.60288
-0.658451,11.0123
-0.181509,0.993791
9.17193,-4.52783
13.2456,8.38442
8.73552,0.675035
4.67629,0.166561
13.3202,10.0325
-3.95141,12.1503
8.04627,8.20369
13.5037,10.3234
12.3458,-3.2733
3.60298,1.63196
1.75368,9.96342
10.979,-1.43509
9.97651,15.0361
1.47759,9.29131
-0.423129,0.457362
10.2975,12.7944
10.2606,3.71083
-1.1926,13.0926
2.69018,-0.945095
-1.96648,3.07495
10.0438,3.48085
11.9512,10.8684
6.65627,10.7174
11.5988,9.78853
12.7371,10.1957
10.2383,9.56372
1.53677,2.42169
6.28514,0.352832
0.269024,6.25937
-2.06097,-1.47577
10.4363,-2.41662
2.43296,4.28168
1.57588,-3.23956
8.99936,-1.92197
11.7182,9.31783
0.140139,1.03913
8.09707,2.08737
4.64698,9.7038
-1.04651,5.86347
7.14227,-2.23455
12.449,-0.637495
15.5706,9.2696
12.3239,12.8874
7.70024,8.92462
7.08104,8.13574
9.08008,0.866554
11.477,3.71484
11.9708,13.3025
1.64522,10.707
-0.395254,-2.24758
11.5502,8.77388
0.452564,2.1635
-0.236394,10.8102
12.2247,12.1124
-0.41552,1.27775
1.0403,8.78436
9.27701,-1.36731
12.4972,12.3529
15.1928,14.594
10.7589,10.8668
12.6712,10.8197
11.065,-0.45256
-2.5947,-1.83537
11.2155,8.65196
-0.297456,10.6331
12.4237,13.5486
0.731656,11.0595
-3.87262,1.64272
11.4578,6.61146
1.27692,-1.59119
8.58285,7.74504
-0.0243601,11.5824
1.01465,1.89042
6.20965,7.91058
11.9059,9.40477
12.5926,6.65122
2.32848,-0.74909
-3.86655,-2.76241
1.19656,2.54922
10.9352,13.6771
-2.40085,8.4237
0.857237,-2.12878
1.40444,8.41619
9.6263,9.51044
9.01881,7.26322
2.36282,10.317
13.8645,11.4671
-1.0656,6.98466
12.3429,7.04905
8.07379,1.19188
12.8438,7.22219
8.98839,7.48958
10.5373,14.5629
12.1638,8.07521
9.43054,2.08065
1.32384,0.815153
-0.672495,11.0126
0.661925,1.81805
12.0608,-0.20577
1.91625,11.6946
7.68373,11.3203
-2.40314,2.79471
4.2976,3.00754
11.8697,11.1593
10.0783,10.0065
-1.51363,0.469414
10.0355,4.0818
-0.507812,6.67021
3.24103,11.484
-1.58116,10.6418
1.75649,13.7525
10.4576,11.7159
-1.81014,0.656528
10.3079,7.6024
4.72804,8.78423
11.125,0.622096
1.38406,-0.354549
11.9354,-2.35856
-1.20183,7.08151
-2.77354,8.67139
7.56629,-0.388088
12.8041,2.60242
12.161,11.5449
-1.96732,11.8286
0.579608,-0.666895
11.5122,7.70856
13.273,10.0238
-0.157073,1.84183
8.99295,6.53347
-0.344824,8.47128
9.46512,9.01636
7.73552,7.82161
-4.73976,10.2234
0.885437,1.66435
10.9608,0.348227
8.8248,7.04491
-2.0854,0.0964326
-3.45397,0.565817
9.05465,2.72949
10.193,7.43631
9.02847,11.0641
11.3186,-0.423971
9.37968,-2.47524
9.23873,7.7269
7.32449,7.96808
9.35666,15.2297
11.9339,1.8708
-1.15226,8.22655
10.4096,8.53336
9.92877,0.922596
13.1588,11.1383
12.7987,13.2023
7.85829,8.71525
